"","host","virus","presence","suitability"
"147","Eonycteris spelaea","Betacoronavirus",1,5.72957972919136e+30
"164","Micropteropus pusillus","Betacoronavirus",1,2.03792001876515e+30
"870","Desmodus rotundus","Betacoronavirus",0,3.90603187593457e+28
"979","Phyllostomus hastatus","Betacoronavirus",0,1.78197123309602e+28
"1021","Uroderma bilobatum","Betacoronavirus",0,1.81043520709576e+25
"146","Eidolon helvum","Betacoronavirus",1,4.4388192147881e+24
"978","Phyllostomus discolor","Betacoronavirus",0,32877374052368888
"904","Hypsignathus monstrosus","Betacoronavirus",0,2865011453935960
"932","Molossus rufus","Betacoronavirus",0,3135981129482.59
"993","Pteropus poliocephalus","Betacoronavirus",0,362623441352.739
"931","Molossus molossus","Betacoronavirus",0,239889735126.893
"880","Eptesicus fuscus","Betacoronavirus",0,142131537819.21
"197","Rousettus aegyptiacus","Betacoronavirus",1,135541263087.584
"138","Carollia perspicillata","Betacoronavirus",1,37812433280.8569
"198","Rousettus amplexicaudatus","Betacoronavirus",1,34111097361.1195
"181","Pteronotus davyi","Betacoronavirus",1,29434223204.2941
"150","Epomops franqueti","Betacoronavirus",1,7980178670.84373
"182","Pteronotus parnellii","Betacoronavirus",1,7599884617.23896
"165","Miniopterus schreibersii","Betacoronavirus",1,309732369.837961
"952","Myotis lucifugus","Betacoronavirus",0,46125109.0376864
"1016","Tadarida brasiliensis","Betacoronavirus",0,2679451.18074612
"140","Cynopterus brachyotis","Betacoronavirus",1,1988823.04039624
"134","Artibeus lituratus","Betacoronavirus",1,1737448.64965751
"142","Cynopterus sphinx","Betacoronavirus",1,932606.110305333
"853","Anoura geoffroyi","Betacoronavirus",0,797812.370866023
"861","Carollia brevicauda","Betacoronavirus",0,240523.878874642
"863","Chaerephon pumilus","Betacoronavirus",0,225415.798784423
"145","Eidolon dupreanum","Betacoronavirus",1,52673.0055715304
"876","Epomops dobsonii","Betacoronavirus",0,15200.0095369261
"1008","Scotophilus kuhlii","Betacoronavirus",0,12559.6236000596
"857","Artibeus jamaicensis","Betacoronavirus",0,5744.64725403361
"995","Pteropus vampyrus","Betacoronavirus",0,1377.00457247823
"890","Glossophaga soricina","Betacoronavirus",0,945.23052889974
"946","Myotis grisescens","Betacoronavirus",0,730.174135773105
"136","Artibeus phaeotis","Betacoronavirus",1,668.19706259883
"148","Epomophorus gambianus","Betacoronavirus",1,437.761032310757
"139","Chaerephon plicatus","Betacoronavirus",1,260.509703642907
"184","Pteropus giganteus","Betacoronavirus",1,251.132665871197
"1012","Sturnira lilium","Betacoronavirus",0,250.288559511037
"992","Pteropus neohibernicus","Betacoronavirus",0,249.457038775722
"862","Carollia subrufa","Betacoronavirus",0,232.500944759957
"955","Myotis myotis","Betacoronavirus",0,69.3273695929417
"183","Pteropus alecto","Betacoronavirus",1,67.3785130342559
"196","Rhinopoma hardwickii","Betacoronavirus",1,8.7723782486989
"166","Mops condylurus","Betacoronavirus",1,8.38233329380277
"852","Anoura caudifer","Betacoronavirus",0,6.08076714995006
"855","Artibeus cinereus","Betacoronavirus",0,5.57165532747427
"141","Cynopterus horsfieldii","Betacoronavirus",1,3.9800791006926
"160","Hypsugo savii","Betacoronavirus",1,3.40243165986246
"163","Megaloglossus woermanni","Betacoronavirus",1,3.36493909639368
"135","Artibeus obscurus","Betacoronavirus",1,2.95309708713568
"933","Mormoops megalophylla","Betacoronavirus",0,2.72556093096825
"986","Plecotus auritus","Betacoronavirus",0,2.70036563798207
"154","Hipposideros armiger","Betacoronavirus",1,2.46070781026155
"935","Murina leucogaster","Betacoronavirus",0,2.12544925187112
"958","Myotis nigricans","Betacoronavirus",0,1.28024922930559
"169","Myotis emarginatus","Betacoronavirus",1,0.947753208468435
"859","Barbastella barbastellus","Betacoronavirus",0,0.893853561140489
"201","Taphozous perforatus","Betacoronavirus",1,0.82656851860455
"990","Pteropus hypomelanus","Betacoronavirus",0,0.789469011977066
"202","Triaenops persicus","Betacoronavirus",1,0.638055835138205
"991","Pteropus lylei","Betacoronavirus",0,0.618911741476634
"988","Pteropus capistratus","Betacoronavirus",0,0.414423935990135
"875","Epomophorus wahlbergi","Betacoronavirus",0,0.402020657520101
"149","Epomophorus labiatus","Betacoronavirus",1,0.329490020620864
"858","Artibeus toltecus","Betacoronavirus",0,0.288699365577975
"185","Pteropus rufus","Betacoronavirus",1,0.273585756152799
"1017","Tadarida teniotis","Betacoronavirus",0,0.259605459067885
"167","Myotis dasycneme","Betacoronavirus",1,0.216298345740621
"989","Pteropus conspicillatus","Betacoronavirus",0,0.190034693371748
"957","Myotis nattereri","Betacoronavirus",0,0.14971411752449
"174","Pipistrellus abramus","Betacoronavirus",1,0.123047487707992
"945","Myotis evotis","Betacoronavirus",0,0.093925428751585
"176","Pipistrellus kuhlii","Betacoronavirus",1,0.0883703236388523
"199","Scotophilus dinganii","Betacoronavirus",1,0.0818467757974431
"964","Myotis volans","Betacoronavirus",0,0.0802647266072429
"200","Scotophilus leucogaster","Betacoronavirus",1,0.0699951625926298
"948","Myotis keenii","Betacoronavirus",0,0.049113780505135
"178","Pipistrellus pipistrellus","Betacoronavirus",1,0.0481579228925677
"940","Myotis brandtii","Betacoronavirus",0,0.0460050971633485
"170","Myotis ricketti","Betacoronavirus",1,0.0324966248106532
"193","Rhinolophus rex","Betacoronavirus",1,0.0309628847076085
"168","Myotis daubentonii","Betacoronavirus",1,0.0285914331590499
"987","Pteropus admiralitatum","Betacoronavirus",0,0.0285134816104936
"157","Hipposideros galeritus","Betacoronavirus",1,0.0283327179996166
"152","Eptesicus serotinus","Betacoronavirus",1,0.0256659215944181
"869","Cynomops planirostris","Betacoronavirus",0,0.0236593984683503
"994","Pteropus scapulatus","Betacoronavirus",0,0.0233368368401987
"983","Pipistrellus subflavus","Betacoronavirus",0,0.0223283295878191
"158","Hipposideros pratti","Betacoronavirus",1,0.0210144862987756
"1001","Rhinolophus rouxii","Betacoronavirus",0,0.0202024633489743
"961","Myotis septentrionalis","Betacoronavirus",0,0.0186668172882966
"963","Myotis velifer","Betacoronavirus",0,0.0170435370668997
"899","Hipposideros pomona","Betacoronavirus",0,0.0169787792878833
"868","Cynomops abrasus","Betacoronavirus",0,0.0165442478812096
"155","Hipposideros caffer","Betacoronavirus",1,0.016163671083103
"947","Myotis horsfieldii","Betacoronavirus",0,0.0147273999300553
"1018","Taphozous melanopogon","Betacoronavirus",0,0.0141146347769646
"934","Murina aurata","Betacoronavirus",0,0.0107530856154778
"189","Rhinolophus creaghi","Betacoronavirus",1,0.0102480185252394
"898","Hipposideros lekaguli","Betacoronavirus",0,0.010075804928121
"186","Rhinolophus affinis","Betacoronavirus",1,0.00828963578184214
"856","Artibeus fimbriatus","Betacoronavirus",0,0.00720816059247754
"981","Pipistrellus hesperus","Betacoronavirus",0,0.00584612641589176
"954","Myotis macropus","Betacoronavirus",0,0.00572367405808271
"938","Myotis austroriparius","Betacoronavirus",0,0.00549667087810191
"191","Rhinolophus mehelyi","Betacoronavirus",1,0.00523837493595241
