"Sp","Betacov","R.Alb","Rank","PropRank","InSample"
"Bos taurus",1,NA,30.375,0.0606454366277141,1
"Mus musculus",1,0.15467111534795,190.4,0.120330188225651,1
"Bos grunniens",0,NA,76.6666666666667,0.135339466070717,1
"Equus caballus",1,NA,97.75,0.142512588065054,1
"Lutra lutra",0,0.150142993326978,630,0.150142993326978,0
"Ursus thibetanus",0,0.151334604385129,635,0.151334604385129,0
"Martes flavigula",0,0.15300285986654,642,0.15300285986654,0
"Felis chaus",0,0.170877025738799,717,0.170877025738799,0
"Rattus norvegicus",1,0.196258341277407,233.4,0.175263595624407,1
"Viverra zibetha",0,0.178741658722593,750,0.178741658722593,0
"Paradoxurus hermaphroditus",0,0.181124880838894,760,0.181124880838894,0
"Micromys minutus",0,0.182793136320305,767,0.182793136320305,0
"Cuon alpinus",0,0.184938036224976,776,0.184938036224976,0
"Canis lupus",1,0.220924690181125,283.4,0.186169645981122,1
"Viverricula indica",0,0.187559580552908,787,0.187559580552908,0
"Suncus etruscus",0,0.191968541468065,805.5,0.191968541468065,0
"Herpestes urva",0,0.192445185891325,807.5,0.192445185891325,0
"Aonyx cinerea",0,0.192921830314585,809.5,0.192921830314585,0
"Rattus nitidus",0,0.193755958055291,813,0.193755958055291,0
"Mustela kathiah",0,0.194232602478551,815,0.194232602478551,0
"Niviventer fulvescens",0,0.197569113441373,829,0.197569113441373,0
"Prionodon pardicolor",0,0.198164918970448,831.5,0.198164918970448,0
"Berylmys bowersi",0,0.198641563393708,833.5,0.198641563393708,0
"Rattus andamanensis",0,0.199833174451859,838.5,0.199833174451859,0
"Neofelis nebulosa",0,0.202097235462345,848,0.202097235462345,0
"Capricornis milneedwardsii",0,0.203050524308866,852,0.203050524308866,0
"Helarctos malayanus",0,0.204957102001907,860,0.204957102001907,0
"Arctictis binturong",0,0.206982840800763,868.5,0.206982840800763,0
"Mus pahari",0,0.208293612964728,874,0.208293612964728,0
"Manis pentadactyla",0,0.211034318398475,885.5,0.211034318398475,0
"Naemorhedus griseus",0,0.212583412774071,892,0.212583412774071,0
"Arctogalidia trivirgata",0,0.212940896091516,893.5,0.212940896091516,0
"Lutrogale perspicillata",0,0.212940896091516,893.5,0.212940896091516,0
"Mus caroli",0,0.217588179218303,913,0.217588179218303,0
"Mustela sibirica",0,0.218660629170639,917.5,0.218660629170639,0
