"","host","virus","presence","suitability"
"4261","Acinonyx jubatus","Betacoronavirus",0,0.481494196076084
"4262","Aepyceros melampus","Betacoronavirus",0,0.40991339983737
"4263","Akodon azarae","Betacoronavirus",0,0.385306862974775
"4264","Akodon montensis","Betacoronavirus",0,0.532659131402882
"4265","Alcelaphus buselaphus","Betacoronavirus",0,0.417745273387944
"4266","Alces alces","Betacoronavirus",0,0.415137025953064
"4267","Alouatta caraya","Betacoronavirus",0,0.652710544402513
"4268","Alouatta palliata","Betacoronavirus",0,0.551841350117778
"4269","Alouatta pigra","Betacoronavirus",0,0.551841350117778
"4270","Alouatta seniculus","Betacoronavirus",0,0.385306862974775
"4271","Ammospermophilus nelsoni","Betacoronavirus",0,0.652710544402513
"4272","Ammotragus lervia","Betacoronavirus",0,0.333431430040745
"4273","Anoura caudifer","Betacoronavirus",0,0.474374651262539
"4274","Anoura geoffroyi","Betacoronavirus",0,0.606938045040307
"4275","Antidorcas marsupialis","Betacoronavirus",0,0.287629865361114
"4276","Antilocapra americana","Betacoronavirus",0,0.513146132043173
"4277","Antilope cervicapra","Betacoronavirus",0,0.343900774930403
"4278","Antrozous pallidus","Betacoronavirus",0,0.654902891790269
"4279","Aotus azarae","Betacoronavirus",0,0.276796123516156
"4280","Aotus trivirgatus","Betacoronavirus",0,0.423856431381332
"4281","Apodemus agrarius","Betacoronavirus",1,0.709908497528851
"4282","Apodemus argenteus","Betacoronavirus",0,0.532659131402882
"4283","Apodemus chevrieri","Betacoronavirus",0,0.474374651262539
"4284","Apodemus flavicollis","Betacoronavirus",0,0.388892409589933
"4285","Apodemus speciosus","Betacoronavirus",0,0.532659131402882
"4286","Apodemus sylvaticus","Betacoronavirus",0,0.349085762965609
"4287","Artibeus cinereus","Betacoronavirus",0,0.893975496378212
"4288","Artibeus fimbriatus","Betacoronavirus",0,0.654902891790269
"4289","Artibeus jamaicensis","Betacoronavirus",0,0.975988331076352
"4290","Artibeus lituratus","Betacoronavirus",1,0.929475780580157
"4291","Artibeus obscurus","Betacoronavirus",1,0.403718736183378
"4292","Artibeus phaeotis","Betacoronavirus",1,0.930879530313294
"4293","Artibeus toltecus","Betacoronavirus",0,0.532659131402882
"4294","Arvicanthis niloticus","Betacoronavirus",0,0.589683747271086
"4295","Arvicola amphibius","Betacoronavirus",0,0.532659131402882
"4296","Arvicola scherman","Betacoronavirus",0,0.252815334245721
"4297","Aselliscus stoliczkanus","Betacoronavirus",1,0.403718736183378
"4298","Atelerix albiventris","Betacoronavirus",0,0.383122990250316
"4299","Ateles geoffroyi","Betacoronavirus",0,0.255975266250154
"4300","Ateles paniscus","Betacoronavirus",0,0.532659131402882
"4301","Atilax paludinosus","Betacoronavirus",0,0.654902891790269
"4302","Axis axis","Betacoronavirus",0,0.343900774930403
"4303","Baiomys taylori","Betacoronavirus",0,0.300488109478912
"4304","Balaenoptera borealis","Betacoronavirus",0,0.227934568411556
"4305","Balaenoptera physalus","Betacoronavirus",0,0.227934568411556
"4306","Bandicota indica","Betacoronavirus",0,0.236264479067593
"4307","Barbastella barbastellus","Betacoronavirus",0,0.893975496378212
"4308","Bassaricyon gabbii","Betacoronavirus",0,0.300488109478912
"4309","Bison bison","Betacoronavirus",0,0.491736922552254
"4310","Bison bonasus","Betacoronavirus",0,0.273765958851894
"4311","Blastocerus dichotomus","Betacoronavirus",0,0.259513157896756
"4312","Bos frontalis","Betacoronavirus",0,0.315081966238477
"4313","Bos grunniens","Betacoronavirus",0,0.290762902411902
"4314","Bos javanicus","Betacoronavirus",0,0.253843639587791
"4315","Bos taurus","Betacoronavirus",1,0.424044038570934
"4316","Boselaphus tragocamelus","Betacoronavirus",0,0.259513157896756
"4317","Bradypus tridactylus","Betacoronavirus",0,0.704512326515593
"4318","Bradypus variegatus","Betacoronavirus",0,0.549334925307549
"4319","Bubalus bubalis","Betacoronavirus",1,0.504396887255186
"4320","Cabassous centralis","Betacoronavirus",0,0.300488109478912
"4321","Callithrix geoffroyi","Betacoronavirus",0,0.300488109478912
"4322","Callithrix jacchus","Betacoronavirus",0,0.257363674603012
"4323","Callithrix leucippe","Betacoronavirus",0,0.652710544402513
"4324","Calomys callosus","Betacoronavirus",0,0.293322764110231
"4325","Calomys musculinus","Betacoronavirus",0,0.532659131402882
"4326","Caluromys derbianus","Betacoronavirus",0,0.300488109478912
"4327","Caluromys philander","Betacoronavirus",0,0.48250577228964
"4328","Camelus dromedarius","Betacoronavirus",1,0.632174879708297
"4329","Canis adustus","Betacoronavirus",0,0.648057696579017
"4330","Canis aureus","Betacoronavirus",0,0.317299235934557
"4331","Canis latrans","Betacoronavirus",0,0.716094934654838
"4332","Canis lupus","Betacoronavirus",1,0.601904059524702
"4333","Canis mesomelas","Betacoronavirus",0,0.733937444079812
"4334","Canis simensis","Betacoronavirus",0,0.513897799409421
"4335","Capra hircus","Betacoronavirus",0,0.515036888259871
"4336","Capra ibex","Betacoronavirus",0,0.258700319265501
"4337","Capra pyrenaica","Betacoronavirus",0,0.317299235934557
"4338","Capreolus capreolus","Betacoronavirus",0,0.364522826507711
"4339","Capricornis crispus","Betacoronavirus",0,0.243266494225544
"4340","Caracal caracal","Betacoronavirus",0,0.245906890369483
"4341","Cardioderma cor","Betacoronavirus",0,0.474374651262539
"4342","Carollia brevicauda","Betacoronavirus",0,0.804142467993825
"4343","Carollia perspicillata","Betacoronavirus",1,1.00729724324751
"4344","Carollia subrufa","Betacoronavirus",0,0.385306862974775
"4345","Castor fiber","Betacoronavirus",0,0.252815334245721
"4346","Cavia porcellus","Betacoronavirus",1,0.324986642179046
"4347","Cebus apella","Betacoronavirus",0,0.343545324476424
"4348","Cebus capucinus","Betacoronavirus",0,0.300488109478912
"4349","Cephalophus callipygus","Betacoronavirus",0,0.215257539469714
"4350","Cephalophus dorsalis","Betacoronavirus",0,0.447160223001952
"4351","Cephalophus leucogaster","Betacoronavirus",0,0.447160223001952
"4352","Cephalophus nigrifrons","Betacoronavirus",0,0.333431430040745
"4353","Cephalophus weynsi","Betacoronavirus",0,0.333431430040745
"4354","Ceratotherium simum","Betacoronavirus",0,0.334724458747519
"4355","Cercocebus agilis","Betacoronavirus",0,0.222197379647984
"4356","Cercocebus atys","Betacoronavirus",0,0.233295651196782
"4357","Cercocebus galeritus","Betacoronavirus",0,0.233295651196782
"4358","Cercopithecus ascanius","Betacoronavirus",0,0.508038839318062
"4359","Cercopithecus cephus","Betacoronavirus",0,0.233295651196782
"4360","Cercopithecus mitis","Betacoronavirus",0,0.221367805597819
"4361","Cercopithecus mona","Betacoronavirus",0,0.43440887367126
"4362","Cercopithecus neglectus","Betacoronavirus",0,0.233295651196782
"4363","Cercopithecus nictitans","Betacoronavirus",0,0.241305792207767
"4364","Cercopithecus petaurista","Betacoronavirus",0,0.252815334245721
"4365","Cercopithecus pogonias","Betacoronavirus",0,0.385306862974775
"4366","Cerdocyon thous","Betacoronavirus",0,0.276796123516156
"4367","Cervus elaphus","Betacoronavirus",0,0.349810371504208
"4368","Cervus nippon","Betacoronavirus",0,0.329252863027256
"4369","Chaerephon plicatus","Betacoronavirus",1,0.491960088587589
"4370","Chaerephon pumilus","Betacoronavirus",0,0.804142467993825
"4371","Chaetodipus spinatus","Betacoronavirus",0,0.343545324476424
