"","host","virus","presence","suitability"
"4261","Acinonyx jubatus","Betacoronavirus",0,0.47986649250481
"4262","Aepyceros melampus","Betacoronavirus",0,0.408238641353143
"4263","Akodon azarae","Betacoronavirus",0,0.383628277434346
"4264","Akodon montensis","Betacoronavirus",0,0.531086520888083
"4265","Alcelaphus buselaphus","Betacoronavirus",0,0.416065726481979
"4266","Alces alces","Betacoronavirus",0,0.413483438001421
"4267","Alouatta caraya","Betacoronavirus",0,0.651402079597346
"4268","Alouatta palliata","Betacoronavirus",0,0.550303245424686
"4269","Alouatta pigra","Betacoronavirus",0,0.550301966277281
"4270","Alouatta seniculus","Betacoronavirus",0,0.383629208781473
"4271","Ammospermophilus nelsoni","Betacoronavirus",0,0.651403717672094
"4272","Ammotragus lervia","Betacoronavirus",0,0.331781819319463
"4273","Anoura caudifer","Betacoronavirus",0,0.472727138702836
"4274","Anoura geoffroyi","Betacoronavirus",0,0.605511959918256
"4275","Antidorcas marsupialis","Betacoronavirus",0,0.286039376824844
"4276","Antilocapra americana","Betacoronavirus",0,0.511546227098289
"4277","Antilope cervicapra","Betacoronavirus",0,0.342240883284628
"4278","Antrozous pallidus","Betacoronavirus",0,0.653601911856646
"4279","Aotus azarae","Betacoronavirus",0,0.275222665608199
"4280","Aotus trivirgatus","Betacoronavirus",0,0.422229998376129
"4281","Apodemus agrarius","Betacoronavirus",1,0.70876772417814
"4282","Apodemus argenteus","Betacoronavirus",0,0.531086305960155
"4283","Apodemus chevrieri","Betacoronavirus",0,0.472727589960744
"4284","Apodemus flavicollis","Betacoronavirus",0,0.387230167309614
"4285","Apodemus speciosus","Betacoronavirus",0,0.531088268335092
"4286","Apodemus sylvaticus","Betacoronavirus",0,0.347449470132238
"4287","Artibeus cinereus","Betacoronavirus",0,0.893621804819151
"4288","Artibeus fimbriatus","Betacoronavirus",0,0.653602262310619
"4289","Artibeus jamaicensis","Betacoronavirus",0,0.976058981070433
"4290","Artibeus lituratus","Betacoronavirus",1,0.929291836683929
"4291","Artibeus obscurus","Betacoronavirus",1,0.402035983018329
"4292","Artibeus phaeotis","Betacoronavirus",1,0.93071710844797
"4293","Artibeus toltecus","Betacoronavirus",0,0.53108516405921
"4294","Arvicanthis niloticus","Betacoronavirus",0,0.588219916016177
